
   # PLAYER                       :  RATING  ERROR     POINTS    PLAYED   (%)  CFS(%)        W       D        L  D(%)
  87 weights_run3_714553.pb.gz    :    2509      8     2879.5      6000  48.0      50     2746     267     2987   4.5
  88 weights_run3_714651.pb.gz    :    2509      9     2908.5      6000  48.5      52     2774     269     2957   4.5
  89 weights_run3_714589.pb.gz    :    2508     11     2933.0      6000  48.9      53     2811     244     2945   4.1
  90 weights_run3_714627.pb.gz    :    2508      9     2943.0      6000  49.0      51     2843     200     2957   3.3
  91 weights_run3_714588.pb.gz    :    2508     11     2871.5      6000  47.9      50     2743     257     3000   4.3
  92 weights_run3_714459.pb.gz    :    2508     10     3003.5      6000  50.1      51     2907     193     2900   3.2
  93 weights_run3_714501.pb.gz    :    2508     10     2909.0      6000  48.5      51     2800     218     2982   3.6
  94 weights_run3_714441.pb.gz    :    2507     10     2984.0      6000  49.7      50     2866     236     2898   3.9
  95 weights_run3_714497.pb.gz    :    2507     10     2938.5      6000  49.0      51     2842     193     2965   3.2
  96 weights_run3_714650.pb.gz    :    2507     11     2920.0      6000  48.7      51     2822     196     2982   3.3
  97 weights_run3_714655.pb.gz    :    2507     11     2902.5      6000  48.4      50     2778     249     2973   4.2
  98 weights_run3_714692.pb.gz    :    2507     10     2939.0      6000  49.0      51     2848     182     2970   3.0
  99 weights_run3_714549.pb.gz    :    2507      9     2869.0      6000  47.8      53     2723     292     2985   4.9
 100 weights_run3_714653.pb.gz    :    2506     10     2925.5      6000  48.8      51     2806     239     2955   4.0
 101 weights_run3_714493.pb.gz    :    2506     12     2924.0      6000  48.7      51     2815     218     2967   3.6
 102 weights_run3_714394.pb.gz    :    2506      9     2999.0      6000  50.0      51     2889     220     2891   3.7
 103 weights_run3_714386.pb.gz    :    2506     11     2978.0      6000  49.6      50     2876     204     2920   3.4
 104 weights_run3_714621.pb.gz    :    2506     10     3016.5      6000  50.3      51     2882     269     2849   4.5
 105 weights_run3_714492.pb.gz    :    2506      9     2889.5      6000  48.2      51     2781     217     3002   3.6
 106 weights_run3_714510.pb.gz    :    2506     11     2859.0      6000  47.6      50     2749     220     3031   3.7
 107 weights_run3_714498.pb.gz    :    2505     11     2853.0      6000  47.5      50     2756     194     3050   3.2
 108 weights_run3_714560.pb.gz    :    2505      9     2872.5      6000  47.9      51     2762     221     3017   3.7
 109 weights_run3_714460.pb.gz    :    2505     10     2943.5      6000  49.1      51     2850     187     2963   3.1
 110 weights_run3_714507.pb.gz    :    2505     10     2851.0      6000  47.5      54     2753     196     3051   3.3
 111 weights_run3_714660.pb.gz    :    2505     11     2910.0      6000  48.5      50     2737     346     2917   5.8
 112 weights_run3_714648.pb.gz    :    2505     11     2984.5      6000  49.7      50     2880     209     2911   3.5
 113 weights_run3_714479.pb.gz    :    2504      9     2963.0      6000  49.4      50     2875     176     2949   2.9
 114 weights_run3_714526.pb.gz    :    2504     10     2894.5      6000  48.2      52     2785     219     2996   3.6
 115 weights_run3_714448.pb.gz    :    2504     10     2954.5      6000  49.2      51     2837     235     2928   3.9
 116 weights_run3_714674.pb.gz    :    2504     10     2949.0      6000  49.1      51     2813     272     2915   4.5
 117 weights_run3_714559.pb.gz    :    2504     10     2863.5      6000  47.7      51     2754     219     3027   3.6
 118 weights_run3_714482.pb.gz    :    2504     10     2995.0      6000  49.9      51     2890     210     2900   3.5
 119 weights_run3_714384.pb.gz    :    2503     11     2961.5      6000  49.4      51     2834     255     2911   4.3
 120 weights_run3_714694.pb.gz    :    2503     10     2872.5      6000  47.9      51     2762     221     3017   3.7
 121 weights_run3_714454.pb.gz    :    2503      9     2912.5      6000  48.5      50     2771     283     2946   4.7
 122 weights_run3_714611.pb.gz    :    2503     10     2982.0      6000  49.7      50     2853     258     2889   4.3
 123 weights_run3_714693.pb.gz    :    2503     12     2886.0      6000  48.1      52     2765     242     2993   4.0
 124 weights_run3_714640.pb.gz    :    2503     10     3007.5      6000  50.1      52     2880     255     2865   4.3
 125 weights_run3_714590.pb.gz    :    2502     10     2905.5      6000  48.4      51     2801     209     2990   3.5
 126 weights_run3_714687.pb.gz    :    2502      9     2932.5      6000  48.9      52     2831     203     2966   3.4
 127 weights_run3_714679.pb.gz    :    2502     12     2862.5      6000  47.7      51     2774     177     3049   3.0
 128 weights_run3_714649.pb.gz    :    2501     10     2869.0      6000  47.8      50     2785     168     3047   2.8
 129 weights_run3_714636.pb.gz    :    2501     11     2900.5      6000  48.3      50     2815     171     3014   2.9
 130 weights_run3_714412.pb.gz    :    2501     10     2961.0      6000  49.4      51     2813     296     2891   4.9
 131 weights_run3_714601.pb.gz    :    2501     11     2965.5      6000  49.4      50     2861     209     2930   3.5
 132 weights_run3_714536.pb.gz    :    2501     10     2944.5      6000  49.1      51     2813     263     2924   4.4
 133 weights_run3_714462.pb.gz    :    2501      8     3004.5      6000  50.1      50     2863     283     2854   4.7
 134 weights_run3_714598.pb.gz    :    2501     10     2923.0      6000  48.7      51     2830     186     2984   3.1
 135 weights_run3_714453.pb.gz    :    2501     10     2858.0      6000  47.6      51     2717     282     3001   4.7
 136 weights_run3_714505.pb.gz    :    2501      9     2864.0      6000  47.7      50     2775     178     3047   3.0
 137 weights_run3_714395.pb.gz    :    2501     10     2914.5      6000  48.6      50     2799     231     2970   3.9
 138 weights_run3_714534.pb.gz    :    2501     10     2949.5      6000  49.2      50     2863     173     2964   2.9
 139 weights_run3_714608.pb.gz    :    2501     10     2916.5      6000  48.6      50     2814     205     2981   3.4
 140 weights_run3_714675.pb.gz    :    2500     10     2852.5      6000  47.5      50     2742     221     3037   3.7
 141 weights_run3_714377.pb.gz    :    2500     10     2854.5      6000  47.6      50     2725     259     3016   4.3
 142 weights_run3_714494.pb.gz    :    2500     11     2902.5      6000  48.4      50     2771     263     2966   4.4
 143 weights_run3_714689.pb.gz    :    2500     10     2904.0      6000  48.4      50     2823     162     3015   2.7
 144 weights_run3_714376.pb.gz    :    2500     11     2930.0      6000  48.8      50     2830     200     2970   3.3
 145 weights_run3_714455.pb.gz    :    2500     12     2913.5      6000  48.6      50     2780     267     2953   4.5
 146 weights_run3_714503.pb.gz    :    2500     11     2918.5      6000  48.6      50     2812     213     2975   3.5
 147 weights_run3_714614.pb.gz    :    2500     10     2970.0      6000  49.5      50     2856     228     2916   3.8
 148 weights_run3_714609.pb.gz    :    2500     10     2922.5      6000  48.7      50     2826     193     2981   3.2
 149 weights_run3_714691.pb.gz    :    2500     10     2878.5      6000  48.0      50     2799     159     3042   2.6
 150 weights_run3_714680.pb.gz    :    2500     10     2898.5      6000  48.3      50     2806     185     3009   3.1
 151 weights_run3_714618.pb.gz    :    2500     12     2912.0      6000  48.5      53     2800     224     2976   3.7
 152 weights_run3_714480.pb.gz    :    2499     10     2893.0      6000  48.2      50     2804     178     3018   3.0
 153 weights_run3_714682.pb.gz    :    2499     10     2901.0      6000  48.4      51     2808     186     3006   3.1
 154 weights_run3_714617.pb.gz    :    2499     12     2843.5      6000  47.4      50     2733     221     3046   3.7
 155 weights_run3_714496.pb.gz    :    2499     10     2888.5      6000  48.1      51     2783     211     3006   3.5
 156 weights_run3_714631.pb.gz    :    2499     11     2815.5      6000  46.9      53     2687     257     3056   4.3
 157 weights_run3_714688.pb.gz    :    2499     10     2870.5      6000  47.8      50     2783     175     3042   2.9
 158 weights_run3_714545.pb.gz    :    2499     11     2944.5      6000  49.1      50     2798     293     2909   4.9
 159 weights_run3_714408.pb.gz    :    2499     11     2935.5      6000  48.9      50     2793     285     2922   4.8
 160 weights_run3_714683.pb.gz    :    2498     10     2852.5      6000  47.5      50     2767     171     3062   2.9
 161 weights_run3_714385.pb.gz    :    2498     10     2849.0      6000  47.5      51     2738     222     3040   3.7
 162 weights_run3_714620.pb.gz    :    2498     11     2878.0      6000  48.0      53     2750     256     2994   4.3
 163 weights_run3_714370.pb.gz    :    2498     10     3011.5      6000  50.2      50     2893     237     2870   4.0
 164 weights_run3_714677.pb.gz    :    2498      9     2800.0      6000  46.7      51     2718     164     3118   2.7
 165 weights_run3_714602.pb.gz    :    2498      9     2885.5      6000  48.1      51     2780     211     3009   3.5
 166 weights_run3_714547.pb.gz    :    2497     10     2864.5      6000  47.7      50     2756     217     3027   3.6
 167 weights_run3_714667.pb.gz    :    2497     10     2921.5      6000  48.7      51     2803     237     2960   4.0
 168 weights_run3_714447.pb.gz    :    2497     11     2899.5      6000  48.3      50     2766     267     2967   4.5
 169 weights_run3_714690.pb.gz    :    2497     10     2864.5      6000  47.7      51     2783     163     3054   2.7
 170 weights_run3_714606.pb.gz    :    2497     11     2936.0      6000  48.9      51     2828     216     2956   3.6
 171 weights_run3_714399.pb.gz    :    2497     10     2957.5      6000  49.3      51     2849     217     2934   3.6
 172 weights_run3_714592.pb.gz    :    2497     11     2934.5      6000  48.9      51     2817     235     2948   3.9
 173 weights_run3_714639.pb.gz    :    2497     10     2870.5      6000  47.8      50     2750     241     3009   4.0
 174 weights_run3_714661.pb.gz    :    2497     10     2887.5      6000  48.1      51     2744     287     2969   4.8
 175 weights_run3_714599.pb.gz    :    2496     11     2914.5      6000  48.6      50     2804     221     2975   3.7
 176 weights_run3_714487.pb.gz    :    2496      9     2895.0      6000  48.3      50     2776     238     2986   4.0
 177 weights_run3_714380.pb.gz    :    2496      9     2916.0      6000  48.6      50     2763     306     2931   5.1
 178 weights_run3_714527.pb.gz    :    2496     10     2880.5      6000  48.0      51     2767     227     3006   3.8
 179 weights_run3_714672.pb.gz    :    2496     10     2907.5      6000  48.5      50     2812     191     2997   3.2
 180 weights_run3_714502.pb.gz    :    2496     10     2833.5      6000  47.2      51     2734     199     3067   3.3
 181 weights_run3_714537.pb.gz    :    2496     12     2878.0      6000  48.0      51     2770     216     3014   3.6
 182 weights_run3_714388.pb.gz    :    2496     10     2940.5      6000  49.0      51     2818     245     2937   4.1
 183 weights_run3_714645.pb.gz    :    2495     12     2952.5      6000  49.2      51     2837     231     2932   3.9
 184 weights_run3_714681.pb.gz    :    2495     11     2850.5      6000  47.5      50     2745     211     3044   3.5
 185 weights_run3_714626.pb.gz    :    2495      9     2882.0      6000  48.0      51     2776     212     3012   3.5
 186 weights_run3_714438.pb.gz    :    2495     10     2916.0      6000  48.6      51     2795     242     2963   4.0
 187 weights_run3_714685.pb.gz    :    2495     10     2842.0      6000  47.4      51     2739     206     3055   3.4
 188 weights_run3_714467.pb.gz    :    2495      9     2930.5      6000  48.8      50     2834     193     2973   3.2
 189 weights_run3_714597.pb.gz    :    2495     11     2885.0      6000  48.1      51     2788     194     3018   3.2
 190 weights_run3_714504.pb.gz    :    2495     11     2840.5      6000  47.3      51     2749     183     3068   3.0
 191 weights_run3_714604.pb.gz    :    2494      9     2910.5      6000  48.5      50     2820     181     2999   3.0
 192 weights_run3_714440.pb.gz    :    2494     10     2855.5      6000  47.6      50     2718     275     3007   4.6
 193 weights_run3_714442.pb.gz    :    2494     10     2857.5      6000  47.6      52     2744     227     3029   3.8
 194 weights_run3_714638.pb.gz    :    2494     10     2884.5      6000  48.1      50     2799     171     3030   2.9
 195 weights_run3_714379.pb.gz    :    2494      9     2811.5      6000  46.9      51     2689     245     3066   4.1
