Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run2_590992.pb.gz       :   2000 (  944, 322,  734),  55.3 :    +28,    6,  100.0

3324) weights_run2_591091.pb.gz 2322 :   6000 (+2168,=654,-3178),  41.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  393, 111, 1496),  22.4 :   -217,    6,    0.0
      weights_run2_591092.pb.gz       :   2000 (  897, 272,  831),  51.6 :     +6,    7,   81.7
      weights_run2_591090.pb.gz       :   2000 (  878, 271,  851),  50.7 :    +10,    7,   91.8

3325) weights_run2_700896.pb.gz 2322 :   6000 (+2405,=70,-3525),  40.7 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  421, 35, 1544),  21.9 :   -217,    5,    0.0
      weights_run2_700897.pb.gz       :   2000 (  967, 18, 1015),  48.8 :     -2,    6,   34.7
      weights_run2_700895.pb.gz       :   2000 ( 1017, 17,  966),  51.3 :     -1,    6,   43.1

3326) weights_run3_714245.pb.gz 2322 :   6000 (+2305,=54,-3641),  38.9 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  465, 14, 1521),  23.6 :   -217,    6,    0.0
      weights_run3_714246.pb.gz       :   2000 (  948, 22, 1030),  48.0 :    -21,    6,    0.0
      weights_run3_714244.pb.gz       :   2000 (  892, 18, 1090),  45.0 :    -20,    6,    0.1

3327) weights_run2_700957.pb.gz 2322 :   6000 (+2458,=125,-3417),  42.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  402,  41, 1557),  21.1 :   -217,    6,    0.0
      weights_run2_700956.pb.gz       :   2000 ( 1030,  37,  933),  52.4 :    +12,    6,   97.3
      weights_run2_700958.pb.gz       :   2000 ( 1026,  47,  927),  52.5 :    +13,    6,   98.0

3328) weights_run3_714199.pb.gz 2322 :   6000 (+2381,=137,-3482),  40.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  441,  58, 1501),  23.5 :   -217,    6,    0.0
      weights_run3_714198.pb.gz       :   2000 (  951,  40, 1009),  48.5 :    -10,    6,    5.5
      weights_run3_714200.pb.gz       :   2000 (  989,  39,  972),  50.4 :    +10,    6,   96.0

3329) weights_run2_700922.pb.gz 2322 :   6000 (+2428,=92,-3480),  41.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  430, 45, 1525),  22.6 :   -217,    6,    0.0
      weights_run2_700921.pb.gz       :   2000 (  959, 27, 1014),  48.6 :    -11,    6,    4.1
      weights_run2_700923.pb.gz       :   2000 ( 1039, 20,  941),  52.5 :    +19,    6,   99.9

3330) weights_run2_700909.pb.gz 2322 :   6000 (+2412,=72,-3516),  40.8 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  465, 42, 1493),  24.3 :   -217,    6,    0.0
      weights_run2_700908.pb.gz       :   2000 ( 1000, 17,  983),  50.4 :     -2,    6,   36.2
      weights_run2_700910.pb.gz       :   2000 (  947, 13, 1040),  47.7 :     +2,    6,   60.7

3331) weights_run2_701211.pb.gz 2321 :   6000 (+2217,=186,-3597),  38.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  462,  37, 1501),  24.0 :   -217,    6,    0.0
      weights_run2_701210.pb.gz       :   2000 (  895,  63, 1042),  46.3 :    -33,    6,    0.0
      weights_run2_701212.pb.gz       :   2000 (  860,  86, 1054),  45.1 :    -16,    6,    0.4

3332) weights_run2_700876.pb.gz 2321 :   6000 (+2418,=64,-3518),  40.8 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  448, 29, 1523),  23.1 :   -218,    6,    0.0
      weights_run2_700875.pb.gz       :   2000 (  967, 16, 1017),  48.8 :     -3,    7,   34.7
      weights_run2_700877.pb.gz       :   2000 ( 1003, 19,  978),  50.6 :     +3,    7,   68.8

3333) weights_run2_700934.pb.gz 2321 :   6000 (+2362,=75,-3563),  40.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  426, 30, 1544),  22.1 :   -218,    6,    0.0
      weights_run2_700933.pb.gz       :   2000 (  941, 24, 1035),  47.6 :    -11,    5,    2.0
      weights_run2_700935.pb.gz       :   2000 (  995, 21,  984),  50.3 :     -6,    6,   15.3

3334) weights_run2_700997.pb.gz 2321 :   6000 (+2473,=60,-3467),  41.7 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  440, 19, 1541),  22.5 :   -218,    6,    0.0
      weights_run2_700996.pb.gz       :   2000 ( 1002, 18,  980),  50.5 :     +9,    6,   95.1
      weights_run2_700998.pb.gz       :   2000 ( 1031, 23,  946),  52.1 :    +10,    6,   94.8

3335) weights_run2_700978.pb.gz 2321 :   6000 (+2475,=100,-3425),  42.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  416,  48, 1536),  22.0 :   -218,    6,    0.0
      weights_run2_700979.pb.gz       :   2000 ( 1014,  28,  958),  51.4 :     +9,    6,   93.2
      weights_run2_700977.pb.gz       :   2000 ( 1045,  24,  931),  52.9 :    +19,    6,   99.9

3336) weights_run2_701027.pb.gz 2321 :   6000 (+2390,=71,-3539),  40.4 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  426, 30, 1544),  22.1 :   -218,    6,    0.0
      weights_run2_701026.pb.gz       :   2000 (  945, 23, 1032),  47.8 :    -12,    6,    2.7
      weights_run2_701028.pb.gz       :   2000 ( 1019, 18,  963),  51.4 :     +4,    6,   74.4

3337) weights_run3_714194.pb.gz 2321 :   6000 (+2451,=92,-3457),  41.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  373, 28, 1599),  19.4 :   -218,    5,    0.0
      weights_run3_714195.pb.gz       :   2000 ( 1002, 28,  970),  50.8 :     +5,    6,   79.4
      weights_run3_714193.pb.gz       :   2000 ( 1076, 36,  888),  54.7 :    +13,    6,   97.5

3338) weights_run2_591047.pb.gz 2321 :   6000 (+2157,=736,-3107),  42.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  410,  83, 1507),  22.6 :   -218,    6,    0.0
      weights_run2_591046.pb.gz       :   2000 (  842, 325,  833),  50.2 :     +0,    6,   50.1
      weights_run2_591048.pb.gz       :   2000 (  905, 328,  767),  53.5 :    +27,    7,  100.0

3339) weights_run2_591046.pb.gz 2321 :   6000 (+2086,=746,-3168),  41.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  398, 105, 1497),  22.5 :   -218,    5,    0.0
      weights_run2_591047.pb.gz       :   2000 (  833, 325,  842),  49.8 :     -0,    6,   49.9
      weights_run2_591045.pb.gz       :   2000 (  855, 316,  829),  50.6 :     +4,    5,   79.4

3340) weights_run2_701011.pb.gz 2321 :   6000 (+2328,=99,-3573),  39.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  423, 38, 1539),  22.1 :   -218,    6,    0.0
      weights_run2_701010.pb.gz       :   2000 (  907, 40, 1053),  46.4 :    -17,    6,    0.4
      weights_run2_701012.pb.gz       :   2000 (  998, 21,  981),  50.4 :     -7,    7,   13.1

3341) weights_run2_591068.pb.gz 2320 :   6000 (+2158,=580,-3262),  40.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  395,  95, 1510),  22.1 :   -219,    6,    0.0
      weights_run2_591067.pb.gz       :   2000 (  836, 253,  911),  48.1 :     -9,    6,    7.8
      weights_run2_591069.pb.gz       :   2000 (  927, 232,  841),  52.1 :     +9,    7,   91.2

3342) weights_run2_700827.pb.gz 2320 :   6000 (+2458,=80,-3462),  41.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  437, 37, 1526),  22.8 :   -219,    6,    0.0
      weights_run2_700828.pb.gz       :   2000 ( 1009, 23,  968),  51.0 :     +9,    6,   94.1
      weights_run2_700826.pb.gz       :   2000 ( 1012, 20,  968),  51.1 :     +9,    6,   93.2

3343) weights_run3_714151.pb.gz 2320 :   6000 (+2441,=120,-3439),  41.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  421,  14, 1565),  21.4 :   -219,    5,    0.0
      weights_run3_714150.pb.gz       :   2000 ( 1040,  30,  930),  52.8 :     +9,    6,   93.3
      weights_run3_714152.pb.gz       :   2000 (  980,  76,  944),  50.9 :    +10,    6,   96.6

3344) weights_run2_701204.pb.gz 2320 :   6000 (+2277,=116,-3607),  38.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  429,  34, 1537),  22.3 :   -219,    5,    0.0
      weights_run2_701203.pb.gz       :   2000 (  906,  31, 1063),  46.1 :    -23,    7,    0.0
      weights_run2_701205.pb.gz       :   2000 (  942,  51, 1007),  48.4 :    -16,    6,    0.3

3345) weights_run2_700976.pb.gz 2320 :   6000 (+2473,=74,-3453),  41.8 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  402, 32, 1566),  20.9 :   -219,    5,    0.0
      weights_run2_700975.pb.gz       :   2000 ( 1022, 25,  953),  51.7 :     +5,    6,   77.3
      weights_run2_700977.pb.gz       :   2000 ( 1049, 17,  934),  52.9 :    +18,    7,   99.5

3346) weights_run2_590991.pb.gz 2320 :   6000 (+2104,=862,-3034),  42.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  419, 107, 1474),  23.6 :   -219,    6,    0.0
      weights_run2_590990.pb.gz       :   2000 (  804, 378,  818),  49.6 :     +5,    6,   82.5
      weights_run2_590992.pb.gz       :   2000 (  881, 377,  742),  53.5 :    +26,    6,  100.0

3347) weights_run2_700508.pb.gz 2320 :   6000 (+2524,=28,-3448),  42.3 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  411, 12, 1577),  20.9 :   -219,    6,    0.0
      weights_run2_700509.pb.gz       :   2000 ( 1025,  8,  967),  51.5 :     +2,    6,   62.8
      weights_run2_700507.pb.gz       :   2000 ( 1088,  8,  904),  54.6 :    +30,    7,  100.0

3348) weights_run2_700910.pb.gz 2320 :   6000 (+2379,=88,-3533),  40.4 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  359, 44, 1597),  19.1 :   -219,    6,    0.0
      weights_run2_700911.pb.gz       :   2000 (  980, 31,  989),  49.8 :     -6,    6,   16.9
      weights_run2_700909.pb.gz       :   2000 ( 1040, 13,  947),  52.3 :     -2,    6,   39.3

3349) weights_run2_701046.pb.gz 2320 :   6000 (+2396,=163,-3441),  41.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  430,  28, 1542),  22.2 :   -219,    5,    0.0
      weights_run2_701045.pb.gz       :   2000 (  958,  71,  971),  49.7 :     +2,    6,   61.0
      weights_run2_701047.pb.gz       :   2000 ( 1008,  64,  928),  52.0 :    +10,    6,   95.5

3350) weights_run2_700423.pb.gz 2320 :   6000 (+2426,=148,-3426),  41.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  454,  46, 1500),  23.9 :   -219,    6,    0.0
      weights_run2_700424.pb.gz       :   2000 (  969,  51,  980),  49.7 :     +8,    6,   91.9
      weights_run2_700422.pb.gz       :   2000 ( 1003,  51,  946),  51.4 :    +11,    5,   97.9

3351) weights_run2_701002.pb.gz 2320 :   6000 (+2411,=77,-3512),  40.8 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  449, 27, 1524),  23.1 :   -219,    5,    0.0
      weights_run2_701001.pb.gz       :   2000 (  952, 23, 1025),  48.2 :    -10,    6,    5.5
      weights_run2_701003.pb.gz       :   2000 ( 1010, 27,  963),  51.2 :    +11,    6,   96.8

3352) weights_run2_591080.pb.gz 2320 :   6000 (+2054,=840,-3106),  41.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  388,  97, 1515),  21.8 :   -219,    6,    0.0
      weights_run2_591079.pb.gz       :   2000 (  849, 309,  842),  50.2 :     -5,    6,   19.8
      weights_run2_591081.pb.gz       :   2000 (  817, 434,  749),  51.7 :    +15,    6,   99.6

3353) weights_run2_700914.pb.gz 2320 :   6000 (+2428,=98,-3474),  41.3 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  418, 33, 1549),  21.7 :   -219,    6,    0.0
      weights_run2_700913.pb.gz       :   2000 ( 1006, 23,  971),  50.9 :     -4,    6,   27.9
      weights_run2_700915.pb.gz       :   2000 ( 1004, 42,  954),  51.3 :    +15,    6,   99.4

3354) weights_run2_700819.pb.gz 2320 :   6000 (+2438,=63,-3499),  41.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  435, 30, 1535),  22.5 :   -219,    6,    0.0
      weights_run2_700818.pb.gz       :   2000 (  981, 11, 1008),  49.3 :     +0,    6,   51.9
      weights_run2_700820.pb.gz       :   2000 ( 1022, 22,  956),  51.6 :     +8,    6,   91.0

3355) weights_run2_700884.pb.gz 2320 :   6000 (+2417,=80,-3503),  41.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  419, 38, 1543),  21.9 :   -219,    7,    0.0
      weights_run2_700885.pb.gz       :   2000 (  983, 15, 1002),  49.5 :     -5,    7,   23.3
      weights_run2_700883.pb.gz       :   2000 ( 1015, 27,  958),  51.4 :     +9,    6,   92.6

3356) weights_run2_700940.pb.gz 2320 :   6000 (+2492,=57,-3451),  42.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  470, 22, 1508),  24.1 :   -219,    6,    0.0
      weights_run2_700941.pb.gz       :   2000 (  972, 18, 1010),  49.0 :     +2,    6,   64.1
      weights_run2_700939.pb.gz       :   2000 ( 1050, 17,  933),  52.9 :    +24,    6,  100.0

3357) weights_run2_700994.pb.gz 2320 :   6000 (+2381,=92,-3527),  40.5 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  402, 24, 1574),  20.7 :   -219,    5,    0.0
      weights_run2_700993.pb.gz       :   2000 (  991, 25,  984),  50.2 :     -4,    5,   23.8
      weights_run2_700995.pb.gz       :   2000 (  988, 43,  969),  50.5 :     -3,    6,   33.8

3358) weights_run2_700427.pb.gz 2320 :   6000 (+2521,=171,-3308),  43.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  415,  51, 1534),  22.0 :   -219,    6,    0.0
      weights_run2_700426.pb.gz       :   2000 ( 1040,  65,  895),  53.6 :    +24,    6,  100.0
      weights_run2_700428.pb.gz       :   2000 ( 1066,  55,  879),  54.7 :    +33,    6,  100.0

3359) weights_run2_700951.pb.gz 2320 :   6000 (+2409,=73,-3518),  40.8 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  396, 27, 1577),  20.5 :   -219,    6,    0.0
      weights_run2_700950.pb.gz       :   2000 (  952, 24, 1024),  48.2 :     -7,    6,   10.9
      weights_run2_700952.pb.gz       :   2000 ( 1061, 22,  917),  53.6 :     +7,    6,   87.9

3360) weights_run2_701005.pb.gz 2319 :   6000 (+2393,=139,-3468),  41.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  448,  40, 1512),  23.4 :   -220,    6,    0.0
      weights_run2_701006.pb.gz       :   2000 (  916,  50, 1034),  47.0 :     -9,    6,    9.3
      weights_run2_701004.pb.gz       :   2000 ( 1029,  49,  922),  52.7 :    +15,    6,   99.6

3361) weights_run2_701016.pb.gz 2319 :   6000 (+2361,=134,-3505),  40.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  394,  53, 1553),  21.0 :   -220,    5,    0.0
      weights_run2_701017.pb.gz       :   2000 (  960,  45,  995),  49.1 :     -9,    6,    6.7
      weights_run2_701015.pb.gz       :   2000 ( 1007,  36,  957),  51.3 :     +3,    6,   69.7

3362) weights_run2_700818.pb.gz 2319 :   6000 (+2428,=86,-3486),  41.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  448, 16, 1536),  22.8 :   -220,    6,    0.0
      weights_run2_700819.pb.gz       :   2000 ( 1008, 11,  981),  50.7 :     -0,    6,   48.1
      weights_run2_700817.pb.gz       :   2000 (  972, 59,  969),  50.1 :    +10,    6,   94.5

3363) weights_run2_700929.pb.gz 2319 :   6000 (+2337,=74,-3589),  39.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  466, 37, 1497),  24.2 :   -220,    5,    0.0
      weights_run2_700928.pb.gz       :   2000 (  917, 13, 1070),  46.2 :    -19,    6,    0.0
      weights_run2_700930.pb.gz       :   2000 (  954, 24, 1022),  48.3 :     -5,    6,   18.0

3364) weights_run2_701019.pb.gz 2319 :   6000 (+2358,=86,-3556),  40.0 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  446, 17, 1537),  22.7 :   -220,    6,    0.0
      weights_run2_701020.pb.gz       :   2000 (  936, 21, 1043),  47.3 :    -10,    6,    4.9
      weights_run2_701018.pb.gz       :   2000 (  976, 48,  976),  50.0 :     -5,    6,   18.2

3365) weights_run2_700439.pb.gz 2319 :   6000 (+2540,=73,-3387),  42.9 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  380, 17, 1603),  19.4 :   -220,    6,    0.0
      weights_run2_700440.pb.gz       :   2000 ( 1071, 14,  915),  53.9 :    +11,    6,   97.1
      weights_run2_700438.pb.gz       :   2000 ( 1089, 42,  869),  55.5 :    +35,    6,  100.0

3366) weights_run2_700944.pb.gz 2319 :   6000 (+2454,=67,-3479),  41.5 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  431, 25, 1544),  22.2 :   -220,    6,    0.0
      weights_run2_700943.pb.gz       :   2000 ( 1021, 23,  956),  51.6 :     +6,    5,   85.9
      weights_run2_700945.pb.gz       :   2000 ( 1002, 19,  979),  50.6 :    +10,    6,   94.6

3367) weights_run2_700962.pb.gz 2319 :   6000 (+2389,=122,-3489),  40.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  428,  44, 1528),  22.5 :   -220,    6,    0.0
      weights_run2_700963.pb.gz       :   2000 (  968,  30, 1002),  49.1 :     -5,    7,   22.0
      weights_run2_700961.pb.gz       :   2000 (  993,  48,  959),  50.9 :     +8,    6,   90.5

3368) weights_run2_701045.pb.gz 2318 :   6000 (+2367,=161,-3472),  40.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  436,  39, 1525),  22.8 :   -221,    6,    0.0
      weights_run2_701046.pb.gz       :   2000 (  971,  71,  958),  50.3 :     -2,    6,   39.0
      weights_run2_701044.pb.gz       :   2000 (  960,  51,  989),  49.3 :     +3,    6,   70.0

3369) weights_run2_700877.pb.gz 2318 :   6000 (+2430,=78,-3492),  41.1 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  438, 28, 1534),  22.6 :   -221,    6,    0.0
      weights_run2_700876.pb.gz       :   2000 (  978, 19, 1003),  49.4 :     -3,    7,   31.2
      weights_run2_700878.pb.gz       :   2000 ( 1014, 31,  955),  51.5 :    +13,    7,   97.4

3370) weights_run2_700442.pb.gz 2318 :   6000 (+2446,=108,-3446),  41.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  466,  18, 1516),  23.8 :   -221,    6,    0.0
      weights_run2_700441.pb.gz       :   2000 (  974,  48,  978),  49.9 :     +1,    5,   56.3
      weights_run2_700443.pb.gz       :   2000 ( 1006,  42,  952),  51.4 :    +19,    6,   99.9

3371) weights_run2_700509.pb.gz 2318 :   6000 (+2472,=53,-3475),  41.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  458, 25, 1517),  23.5 :   -221,    6,    0.0
      weights_run2_700508.pb.gz       :   2000 (  967,  8, 1025),  48.5 :     -2,    6,   37.2
      weights_run2_700510.pb.gz       :   2000 ( 1047, 20,  933),  52.9 :    +22,    7,  100.0

3372) weights_run3_714230.pb.gz 2318 :   6000 (+2366,=87,-3547),  40.2 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  474, 18, 1508),  24.1 :   -221,    5,    0.0
      weights_run3_714229.pb.gz       :   2000 (  927, 27, 1046),  47.0 :     -6,    6,   13.3
      weights_run3_714231.pb.gz       :   2000 (  965, 42,  993),  49.3 :     -5,    6,   20.6

3373) weights_run2_700932.pb.gz 2318 :   6000 (+2331,=96,-3573),  39.6 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  397, 29, 1574),  20.6 :   -221,    6,    0.0
      weights_run2_700933.pb.gz       :   2000 (  962, 31, 1007),  48.9 :    -15,    6,    1.1
      weights_run2_700931.pb.gz       :   2000 (  972, 36,  992),  49.5 :     -7,    6,   13.6

3374) weights_run2_590995.pb.gz 2318 :   6000 (+2112,=762,-3126),  41.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  389, 105, 1506),  22.1 :   -221,    5,    0.0
      weights_run2_590996.pb.gz       :   2000 (  865, 313,  822),  51.1 :     +6,    6,   85.7
      weights_run2_590994.pb.gz       :   2000 (  858, 344,  798),  51.5 :    +12,    6,   97.4

3375) weights_run2_700966.pb.gz 2318 :   6000 (+2450,=118,-3432),  41.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  407,  35, 1558),  21.2 :   -221,    6,    0.0
      weights_run2_700967.pb.gz       :   2000 (  984,  44,  972),  50.3 :     +2,    6,   61.7
      weights_run2_700965.pb.gz       :   2000 ( 1059,  39,  902),  53.9 :    +22,    6,  100.0

3376) weights_run2_700941.pb.gz 2317 :   6000 (+2420,=39,-3541),  40.7 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  416, 12, 1572),  21.1 :   -222,    6,    0.0
      weights_run2_700940.pb.gz       :   2000 ( 1010, 18,  972),  51.0 :     -2,    6,   35.9
      weights_run2_700942.pb.gz       :   2000 (  994,  9,  997),  49.9 :     +2,    6,   61.9

3377) weights_run2_701038.pb.gz 2317 :   6000 (+2426,=109,-3465),  41.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  407,  38, 1555),  21.3 :   -222,    6,    0.0
      weights_run2_701039.pb.gz       :   2000 ( 1005,  28,  967),  51.0 :     +5,    6,   77.7
      weights_run2_701037.pb.gz       :   2000 ( 1014,  43,  943),  51.8 :     +9,    6,   93.0

3378) weights_run2_700441.pb.gz 2317 :   6000 (+2403,=125,-3472),  41.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  448,  26, 1526),  23.1 :   -222,    5,    0.0
      weights_run2_700442.pb.gz       :   2000 (  978,  48,  974),  50.1 :     -1,    5,   43.7
      weights_run2_700440.pb.gz       :   2000 (  977,  51,  972),  50.1 :    +10,    6,   94.7

3379) weights_run2_700972.pb.gz 2317 :   6000 (+2382,=86,-3532),  40.4 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  401, 40, 1559),  21.1 :   -222,    5,    0.0
      weights_run2_700973.pb.gz       :   2000 (  989, 22,  989),  50.0 :     -6,    6,   16.8
      weights_run2_700971.pb.gz       :   2000 (  992, 24,  984),  50.2 :     +0,    5,   51.7

3380) weights_run2_591066.pb.gz 2317 :   6000 (+2158,=548,-3294),  40.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  398,  69, 1533),  21.6 :   -222,    5,    0.0
      weights_run2_591067.pb.gz       :   2000 (  837, 243,  920),  47.9 :    -12,    6,    2.3
      weights_run2_591065.pb.gz       :   2000 (  923, 236,  841),  52.0 :     +9,    6,   94.5

3381) weights_run2_701043.pb.gz 2317 :   6000 (+2330,=174,-3496),  40.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  421,  51, 1528),  22.3 :   -222,    6,    0.0
      weights_run2_701042.pb.gz       :   2000 (  906,  76, 1018),  47.2 :    -10,    7,    8.0
      weights_run2_701044.pb.gz       :   2000 ( 1003,  47,  950),  51.3 :     +2,    5,   65.9

3382) weights_run2_701028.pb.gz 2317 :   6000 (+2380,=102,-3518),  40.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  433,  41, 1526),  22.7 :   -222,    6,    0.0
      weights_run2_701027.pb.gz       :   2000 (  963,  18, 1019),  48.6 :     -4,    6,   25.6
      weights_run2_701029.pb.gz       :   2000 (  984,  43,  973),  50.3 :     +1,    6,   55.5

3383) weights_run2_700971.pb.gz 2317 :   6000 (+2365,=77,-3558),  40.1 %

      vs.                             :  games (    +,  =,    -),   (%) :   Diff,   SD, CFS (%)
