Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714650.pb.gz       :      2000 (    1073,     48,     879),  54.9 :    +32,    6,  100.0
      weights_run3_714655.pb.gz       :      2000 (    1077,     35,     888),  54.7 :    +32,    5,  100.0
      weights_run3_714692.pb.gz       :      2000 (    1105,     45,     850),  56.4 :    +32,    5,  100.0
      weights_run3_714549.pb.gz       :      2000 (    1051,     72,     877),  54.4 :    +32,    5,  100.0
      weights_run3_714653.pb.gz       :      2000 (    1088,     34,     878),  55.3 :    +33,    5,  100.0
      weights_run3_714493.pb.gz       :      2000 (    1090,     29,     881),  55.2 :    +33,    6,  100.0
      weights_run3_714394.pb.gz       :      2000 (    1043,     39,     918),  53.1 :    +33,    5,  100.0
      weights_run3_714386.pb.gz       :      2000 (    1118,     27,     855),  56.6 :    +33,    6,  100.0
      weights_run3_714621.pb.gz       :      2000 (    1062,     45,     893),  54.2 :    +33,    5,  100.0
      weights_run3_714492.pb.gz       :      2000 (    1067,     52,     881),  54.6 :    +33,    5,  100.0
      weights_run3_714510.pb.gz       :      2000 (    1081,     28,     891),  54.8 :    +33,    6,  100.0
      weights_run3_714498.pb.gz       :      2000 (    1038,     30,     932),  52.6 :    +34,    5,  100.0
      weights_run3_714560.pb.gz       :      2000 (    1081,     44,     875),  55.1 :    +34,    5,  100.0
      weights_run3_714460.pb.gz       :      2000 (    1016,     36,     948),  51.7 :    +34,    5,  100.0
      weights_run3_714507.pb.gz       :      2000 (    1088,     18,     894),  54.9 :    +34,    5,  100.0
      weights_run3_714660.pb.gz       :      2000 (    1061,     44,     895),  54.1 :    +34,    6,  100.0
      weights_run3_714648.pb.gz       :      2000 (    1090,     51,     859),  55.8 :    +34,    6,  100.0
      weights_run3_714479.pb.gz       :      2000 (    1086,     47,     867),  55.5 :    +35,    5,  100.0
      weights_run3_714526.pb.gz       :      2000 (    1068,     45,     887),  54.5 :    +35,    5,  100.0
      weights_run3_714448.pb.gz       :      2000 (    1146,     43,     811),  58.4 :    +35,    5,  100.0
      weights_run3_714674.pb.gz       :      2000 (    1065,     51,     884),  54.5 :    +35,    5,  100.0
      weights_run3_714559.pb.gz       :      2000 (    1090,     49,     861),  55.7 :    +35,    5,  100.0
      weights_run3_714482.pb.gz       :      2000 (    1113,     38,     849),  56.6 :    +35,    5,  100.0
      weights_run3_714384.pb.gz       :      2000 (    1084,     46,     870),  55.4 :    +36,    6,  100.0
      weights_run3_714694.pb.gz       :      2000 (    1078,     34,     888),  54.8 :    +36,    5,  100.0
      weights_run3_714454.pb.gz       :      2000 (    1039,     46,     915),  53.1 :    +36,    5,  100.0
      weights_run3_714611.pb.gz       :      2000 (    1088,     78,     834),  56.4 :    +36,    5,  100.0
      weights_run3_714693.pb.gz       :      2000 (    1068,     57,     875),  54.8 :    +36,    6,  100.0
      weights_run3_714640.pb.gz       :      2000 (    1103,     37,     860),  56.1 :    +36,    5,  100.0
      weights_run3_714590.pb.gz       :      2000 (    1049,     34,     917),  53.3 :    +37,    5,  100.0
      weights_run3_714687.pb.gz       :      2000 (    1067,     35,     898),  54.2 :    +37,    5,  100.0
      weights_run3_714679.pb.gz       :      2000 (    1099,     37,     864),  55.9 :    +37,    6,  100.0
